name,size,percent_used,index_scans,seq_scans,unused
public.idx_waitlist_chef_date,8192 bytes,100%,14,0,f
public.idx_events_financial_closed,8192 bytes,0%,0,0,t
public.idx_client_meal_requests_tenant_status,8192 bytes,100%,1212,0,f
public.idx_dish_appearances_event,8192 bytes,0%,0,0,t
public.professional_achievements_pkey,8192 bytes,0%,0,0,t
public.commerce_dining_checks_pkey,8192 bytes,0%,0,0,t
public.content_performance_pkey,8192 bytes,0%,0,0,t
public.css_event_unique,8192 bytes,0%,0,0,t
public.idx_sales_register_session,8192 bytes,0%,0,0,t
public.idx_chef_post_mentions_mentioned,8192 bytes,100%,13,0,f
public.idx_allergy_records_client,8192 bytes,100%,183,0,f
public.chef_feature_flags_pkey,8192 bytes,0%,0,0,t
public.staff_availability_staff_member_id_date_key,8192 bytes,0%,0,0,t
public.chef_post_hashtags_pkey,8192 bytes,0%,0,0,t
public.idx_staff_clock_tenant_date,8192 bytes,100%,21,0,f
public.idx_portfolio_removal_client,8192 bytes,100%,1,0,f
public.idx_qr_scans_qr_code,8192 bytes,0%,0,0,t
public.chef_growth_checkins_pkey,8192 bytes,0%,0,0,t
public.guest_event_profile_event_token_unique,8192 bytes,0%,0,0,t
public.idx_menu_modifications_tenant,8192 bytes,100%,67,0,f
public.idx_receipt_photos_tenant_created,8192 bytes,100%,98,0,f
public.idx_outreach_log_chef,8192 bytes,100%,17,0,f
public.idx_equip_deprec_item,8192 bytes,0%,0,0,t
public.automated_sequences_pkey,8192 bytes,0%,0,0,t
public.idx_daily_tax_tenant_date,8192 bytes,100%,17,0,f
public.idx_cannabis_event_details_tenant_id,8192 bytes,100%,17,0,f
public.idx_guest_communication_logs_tenant,8192 bytes,100%,17,0,f
public.idx_bakery_par_stock_tenant_active,8192 bytes,100%,2,0,f
public.idx_staff_clock_member,8192 bytes,100%,8,0,f
public.guest_comps_pkey,8192 bytes,0%,0,0,t
public.idx_cannabis_invitations_status,8192 bytes,100%,8,0,f
public.idx_allergy_records_unique_allergen,8192 bytes,100%,1,0,f
public.client_allergy_records_pkey,8192 bytes,0%,0,0,t
public.idx_vendor_items_chef,8192 bytes,100%,38,0,f
public.client_referrals_pkey,8192 bytes,0%,0,0,t
public.sop_completions_sop_id_staff_member_id_version_completed_key,8192 bytes,0%,0,0,t
public.task_templates_pkey,8192 bytes,0%,0,0,t
public.chef_trusted_circle_pkey,8192 bytes,0%,0,0,t
public.chef_story_views_pkey,8192 bytes,0%,0,0,t
public.idx_hub_availability_group,8192 bytes,100%,3,0,f
public.idx_public_location_references_state_city,8192 bytes,0%,0,0,t
public.idx_growth_checkins_date,8192 bytes,100%,1595,0,f
public.idx_ppi_event,8192 bytes,100%,12,0,f
public.sequence_enrollments_sequence_id_client_id_key,8192 bytes,100%,1,0,f
public.idx_contractor_agreements_tenant,8192 bytes,100%,17,0,f
public.event_contingency_notes_pkey,8192 bytes,0%,0,0,t
public.menu_approval_requests_pkey,8192 bytes,100%,1,0,f
public.event_contract_versions_contract_id_version_number_key,8192 bytes,0%,0,0,t
public.idx_proposal_sections_tenant,8192 bytes,0%,0,0,t
public.idx_prep_blocks_incomplete,8192 bytes,0%,0,0,t
public.idx_event_service_sessions_tenant_date,8192 bytes,0%,0,0,t
public.idx_chef_network_posts_author_created,8192 bytes,100%,13,0,f
public.compliance_cleaning_logs_pkey,8192 bytes,0%,0,0,t
public.idx_chef_network_contact_shares_recipient_created,8192 bytes,100%,14,0,f
public.idx_chef_social_posts_channel,8192 bytes,0%,0,0,t
public.remy_action_audit_log_pkey,8192 bytes,0%,0,0,t
public.social_posts_unique_slot_per_tenant_year,8192 bytes,0%,0,0,t
public.idx_public_media_assets_source,8192 bytes,0%,0,0,t
public.daily_reconciliation_reports_tenant_id_report_date_key,8192 bytes,0%,0,0,t
public.idx_allergy_records_unconfirmed,8192 bytes,100%,67,0,f
public.idx_stocktake_items_stocktake,8192 bytes,0%,0,0,t
public.followup_rules_pkey,8192 bytes,0%,0,0,t
